Id,Label,timeset,count,modularity_class
2244,converting,,16,870
2246,handle,,14,871
2250,oldest,,38,872
2252,seamless,,36,873
2260,quick,,50,874
2263,image,,105,875
2265,tabletop,,6,876
2267,satisfaction,,19,877
2272,wilson,,14,878
2273,healing,,7,879
2276,hacking,,7,880
2281,contactless,,7,881
2284,incentive,,40,882
2287,antenna,,21,883
2290,emphasis,,22,884
2293,steak,,8,885
2296,grill,,5,886
2297,carton,,13,887
2298,folding,,14,888
2301,attendance,,15,889
2302,plus,,76,890
2304,wafer,,11,891
2306,protective,,46,892
2309,reader,,39,893
2311,fastening,,13,894
2314,dublin,,11,895
2316,gene,,29,896
2319,pennsylvania,,25,897
2320,seed,,48,898
2321,breeding,,5,899
2323,manufactured,,38,900
2329,assisting,,23,901
2331,intermediary,,14,902
2332,array,,94,903
2333,sophisticated,,60,904
2343,discounted,,16,905
2344,mastercard,,13,906
2345,greeting,,6,907
2349,actuarial,,14,908
2352,groupe,,80,909
2353,decor,,19,910
2359,writing,,22,911
2361,code,,55,912
2362,hassle,,16,913
2363,tailored,,84,914
2366,doorstep,,27,915
2367,delightful,,8,916
2369,davis,,14,917
2375,towing,,8,918
2376,trigger,,5,919
2380,principal,,25,920
2382,administers,,9,921
2383,twitter,,15,922
2386,ministry,,5,923
2387,christian,,15,924
2388,improves,,35,925
2394,retailing,,35,926
2396,ease,,16,927
2397,citizen,,39,928
2403,orange,,27,929
2404,grand,,27,930
2410,portugal,,11,931
2413,casting,,44,932
2416,switzerland,,56,933
2419,fourth,,11,934
2420,launch,,34,935
2422,terminal,,57,936
2423,northern,,57,937
2427,hungary,,8,938
2434,grown,,61,939
2435,griffin,,5,940
2436,member,,123,941
2437,trans,,10,942
2441,hiring,,37,943
2442,speech,,21,944
2444,generates,,13,945
2447,groundwork,,6,946
2448,administrator,,40,947
2455,prototyping,,21,948
2458,enforcement,,29,949
2461,architectural,,90,950
2462,fabricator,,25,951
2466,jersey,,48,952
2468,grupo,,31,953
2471,microbial,,10,954
2473,probiotic,,9,955
2474,guardian,,18,956
2475,livestock,,19,957
2476,valve,,61,958
2479,explore,,21,959
2480,printed,,46,960
2481,coordination,,18,961
2484,drilling,,67,962
2485,gulf,,20,963
2486,raising,,12,964
2490,head,,22,965
2492,today,,97,966
2501,exporter,,13,967
2503,importer,,28,968
2512,cement,,33,969
2513,alike,,10,970
2514,ultimate,,36,971
2516,kitchen,,61,972
2520,seven,,31,973
2521,structure,,60,974
2522,harris,,22,975
2526,press,,58,976
2527,common,,26,977
2529,gluten,,7,978
2531,protein,,54,979
2532,processed,,15,980
2534,hawaii,,12,981
